#,link,duration(seconds)
1,/talks/diane_wolk_rogers_a_parkland_teacher_s_homework_for_us_all,
2,/talks/zachary_r_wood_why_it_s_worth_listening_to_people_we_disagree_with,
3,/talks/nancy_rabalais_the_dead_zone_of_the_gulf_of_mexico,
4,/talks/mark_tyndall_the_harm_reduction_model_of_drug_addiction_treatment,
5,/talks/hannah_burckstummer_a_printable_flexible_organic_solar_cell,
6,/talks/yasin_kakande_what_s_missing_in_the_global_debate_over_refugees,
7,/talks/robin_steinberg_what_if_we_ended_the_injustice_of_bail,
8,/talks/jaron_lanier_how_we_need_to_remake_the_internet,
9,/talks/malika_whitley_how_the_arts_help_homeless_youth_heal_and_build,
10,/talks/lera_boroditsky_how_language_shapes_the_way_we_think,
11,/talks/jose_andres_how_a_team_of_chefs_fed_puerto_rico_after_hurricane_maria,
12,/talks/tara_houska_the_standing_rock_resistance_and_our_fight_for_indigenous_rights,
13,/talks/kasiva_mutua_how_i_use_the_drum_to_tell_my_story,
14,/talks/danny_hillis_exploring_options_for_solar_geoengineering,
15,/talks/andrew_dent_to_eliminate_waste_we_need_to_rediscover_thrift,
16,/talks/drew_philp_my_500_house_in_detroit_and_the_neighbors_who_helped_me_rebuild_it,
17,/talks/irina_kareva_math_can_help_uncover_cancer_s_secrets,
18,/talks/raphael_arar_how_we_can_teach_computers_to_make_sense_of_our_emotions,
19,/talks/christian_picciolini_my_descent_into_america_s_neo_nazi_movement_and_how_i_got_out,
20,/talks/judith_heumann_our_fight_for_disability_rights_and_why_we_re_not_done_yet,
21,/talks/leo_igwe_why_i_choose_humanism_over_faith,
22,/talks/ndidi_nwuneli_the_role_of_faith_and_belief_in_modern_africa,
23,/talks/erica_stone_academic_research_is_publicly_funded_why_isn_t_it_publicly_available,
24,/talks/mennat_el_ghalid_how_fungi_recognize_and_infect_plants,
25,/talks/vikram_sharma_how_quantum_physics_can_make_encryption_stronger,
26,/talks/matthias_mullenbeck_what_if_we_paid_doctors_to_keep_people_healthy,
27,/talks/amishi_jha_how_to_tame_your_wandering_mind,
28,/talks/sauti_sol_the_rhythm_of_afrobeat,
29,/talks/eve_abrams_the_human_stories_behind_mass_incarceration,
